Musica;Artista_Principal;Todos_Artistas;Periodo;Periodo_Ordem;Ranking;Album;Popularidade_Musica;Generos_Musica;Data_Extracao;Preview_URL;Spotify_ID
Death By Rock And Roll;The Pretty Reckless;The Pretty Reckless;1_mes;1;44;Death By Rock And Roll;0;N/A;2026-03-25 18:49:30;;6ISZ6sKcNBdYJS7XYHm5cV
Cold (feat. Post Malone);BigXthaPlug;BigXthaPlug, Post Malone;1_mes;1;45;I Hope You're Happy (Deluxe);0;N/A;2026-03-25 18:49:30;;7fIIi2KQB2AUqRgmpreKYj
House Money;Baby Keem;Baby Keem;1_mes;1;46;Ca$ino;0;west coast hip hop, hip-hop, trap, pop rap, chipmunk soul;2026-03-25 18:49:30;;5Th1SPySWgYlkXXC6wLMwL
Back On My BS;BigXthaPlug;BigXthaPlug;1_mes;1;47;THE BIGGEST;0;southern rap, rap;2026-03-25 18:49:30;;7hrFCoyWwKep7qp1lP4oga
Good Flirts (feat. Kendrick Lamar & Momo Boyd);Baby Keem;Baby Keem, Kendrick Lamar, Momo Boyd;1_mes;1;48;Ca$ino;0;kendrick lamar;2026-03-25 18:49:30;;5sHeIGDbdzw8DeO57XZKIy
Heaven Knows;The Pretty Reckless;The Pretty Reckless;1_mes;1;49;Going To Hell (Deluxe Edition);0;N/A;2026-03-25 18:49:30;;04w73SmPfQkkmEpKbcrHOL
Onna Come Up (feat. G Herbo) [Remix];Lil Eazzyy;Lil Eazzyy, G Herbo;1_mes;1;50;Rookie Of The Year;0;N/A;2026-03-25 18:49:30;;05WPbN0RZeYj62c4VGpldv
PIXELATED KISSES;Joji;Joji;6_meses;2;1;Piss In The Wind;0;alternative rnb, r&b, rage, trap;2026-03-25 18:49:30;;0XpxBV69JUDfqyzrJbndsw
DtMF;Bad Bunny;Bad Bunny;6_meses;2;2;DeBÍ TiRAR MáS FOToS;0;reggaeton, melodic, vocal, latin;2026-03-25 18:49:30;;3sK8wGT43QFpWrvNQsrQya
NOT CUTE ANYMORE;ILLIT;ILLIT;6_meses;2;3;NOT CUTE ANYMORE;0;k-pop, korean, kiki owner of this song, pop reggae;2026-03-25 18:49:30;;1k0JAiH11gHL9dc5dfQjQr
Drama;aespa;aespa;6_meses;2;4;Drama - The 4th Mini Album;0;k-pop, 2023, soty;2026-03-25 18:49:30;;5XWlyfo0kZ8LF7VSyfS4Ew
